TF,candidate_group,gremln_dense_rank,genie3_dense_rank,in_gremln_top25,in_genie3_top25,classA_independent_supportive,classA_independent_opposing,classA_independent_positive_unresolved,classB_orthogonal_supportive,classB_orthogonal_opposing,classB_orthogonal_positive,classC_contextual_supportive,classC_contextual_opposing,classC_contextual_positive,n_positive_layers_classA,n_positive_layers_classB,n_positive_layers_classC,n_measured_layers,n_not_measured_layers,strongest_independent_layer,strongest_contextual_layer,evidence_item_ids,independent_molecular_support_for_decision_rule,overall_audit_status
BHLHE40,GENIE3 specific,5,7,False,True,0,0,0,0,0,0,0,0,0,0,0,0,2,0,,,6b0892e6824f1dfd709e4c3fd15677cf66e145f6930537a1ee9c6a49cbf4234d;450e26850699c0d830352f99ef8d97573dd0268ddddae7bcc6e1445214810eea;60dc3665b24a157b764dd6edd589cdea56194a379606346e1289463f1d9dc565;793da9c72c3cb37969d299842e9c174f23b650e47b6c8dd1f2b5a6a64f5fca3e;76772d76f794de702d413a73502e7d73a8095d2da545ec6bd3fe96998e37b9db;d871c918139c0afd93ae54739f5badf567289082fee558fb6e8b7e4671ecf0af;8f39c168a192f4c01be1b56d8d8bfa13842fd082aaa2ae584ff6fadd283e93c3;b010d83435f04eb3cca4d1fe3866d2af5d9f6acf5ded58ec52095266321a5fe6;970e27fc076a40b7fecc3ef3d23ead8895bb568eee55891fe6eee569bd6d2fdf;439d4d66d660460a0b94379dddbc8dcce803504f707faeb53dc23e1744b1aa5c;cd456fbd913f52811f453579624e2952a5a5727453847c1d7bd9aee93d99c361;05b802621b158f6f1856390ebeb567df75397c2e18204c2fab12ae70de2aace8;49d9535e67c002ac23e3085899c45a5081872a54a29e497d038a0c93c678c9c4;4f16908e785fe43d24ae6190ae5485f30965b0a28434d9fc2cdc89110fdc537f;07def1ffafe0e6a37dce45e2a78493b912ab2964342cd6a99e899cf923d88146,False,no_qualifying_signal_in_evaluated_layers
CYCS,GENIE3 specific,5,10,False,True,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,False,source_unavailable_not_evaluated_by_08e_pipeline
EGR2,GENIE3 specific,6,1,False,True,0,0,0,0,0,0,0,0,10,0,0,2,2,0,,transcriptomics,96842c24055872d068f862c6af6edffb7e26dfec3997ad8f25c1570d0e3a3ad9;d36ba595b1004f3e1fd4ba173098dfd912444c0876a1d80d48e2f0101172839d;3235a6dc40c15d2b6d9174e13975c2295658370870b5e0454c278c2cd2a58fc3;841f6d88ce27433c8cff19b30da6cd1a6b31c9536d29cfb9fcfa78363a0bee54;bb863a2efc3040aca401b7bb7cea32aca8b00a0619f956de7a69d59b5ad338c7;810e7a1e05ecbc7bd936139efa063fd86dddb6d994e234a20e766dde67f739e3;b3c01ce5b8cc0d67115a8ce6fbdab06384418e99d323001549d65c9b6e761787;150d2bff7575059921fffe21ddfa7d00845c671c9eda5801956c81e93920dcbc;fe4f4cf501a0c4d446c6d6c45e499b46e815e9109aefe8b90ae55abc0bef9461;aadbc0d8cde260db09f79f45e37bb910178088d9e07393fc1ce8177ae16c0929;757e640ab30dbb4acd27073a8dba18d7e345e7cd5e5b7369cb2b334b2925756d;f8171bfa5287b00c009900748893b8984e6c442c01c08207f0f0838d41d63308;9d04a9eefa0ccae0fc5a6593207673dcef7454449b425071c242e0f8d0671ade;651b23aa9c58715bf2f2b1af75b7a14fd922fac9682857cd1278173273954992;235bdb65da1c4d98222d2d933d457e9dcc4341000625451238c53717d816468c,False,contextual_or_orthogonal_only
FOXM1,GENIE3 specific,4,15,False,True,0,0,0,0,0,0,0,0,3,0,0,1,2,0,,tf_activity,5deaa466e98ebb6a300cfab2c09272aa6eea61167eb4dfbc1cc8e1587cf5a91e;e3ddeffc63ea6e21e9c4f0f45e2c4a1b53496819e604389ec5c7ddb4bc9a121f;81f9bec1c08ce62c60c5c77f3ac5ffa02da3c40f99d0d4370e766850517a79d5;0295796da13bbee719b3d88449f56adf6c44a5422f5c08118387a1a62506c567;db44018addc54246af1f7f292c365ffc4605f0a3c69f3fd7f0642aba81e06864;2755695f75b60456050b10f5b6539687b5145b54fb077b13fb87c5e581fef103;742335ea085956803d7b5e0442eee2df17b2c4635ac4c4f20a93d3f2309d0f69;6c48db17a5ddd7743ba27843e0d58e28a7bb6ac4a368ca1462110421ddf10107;311e91a034921792de8baf18a7cefb98707d08897136f7856c9af699bb24eb56;79c15f847828c068f13057c81f13c81b2bfc393b7a5d21be6634194c8a19898f;0df831d8020ddfc60aec104f5b7d610045bc9bd6b6f970c29d689a67d33fa57d;e8def27fb691c8f8340f45a6732316bffb1b9e2554b28ad1f6ce86e7297301f6;399994cf9d5a40a7c66bc6dad16374ed1358d7425dbee7477d8fa6f791ff3758;3e79b046ded8caabaf43a6392138b18386d195704f64a9b40ae1b2276d76df72;2be18340361e3bedba7f43f1cf6007fe3176af65de135847ccae99c06f75e71a,False,contextual_or_orthogonal_only
FOXP1,GENIE3 specific,5,3,False,True,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,False,source_unavailable_not_evaluated_by_08e_pipeline
GAR1,GENIE3 specific,4,12,False,True,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,False,source_unavailable_not_evaluated_by_08e_pipeline
GTF2A2,GENIE3 specific,4,22,False,True,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,False,source_unavailable_not_evaluated_by_08e_pipeline
HIVEP3,GENIE3 specific,6,4,False,True,0,0,0,0,0,0,0,0,9,0,0,2,2,0,,transcriptomics,77f6b4435b07325ae8f52542191edb23ca2c3554c46418967b60457ece9ad2a1;0e6465bab8b19cae139d1f90acd89c1b7cf1ec53757aa221a4ad26b2f7fdede0;349b1c0b03bcc7e4918c953f4441b6fb00b9928cedfec6d7ecea0c8ce5731223;bc9528047d3d75dc126aa7bc496b77585384ad52b20ccda14f429ac275c850d9;b7a48b090b7aac1357d2de3bb2c3d09b109e87989a5803ea37ba98daf5d64478;1e3f27d878c878f2365b9fdd6d286a80588b8f5fad0826384ab4ab53d5004812;1e3e8f7d03de964717b344c8d9698cd3a65d40ede9f85f64b7948348ea20a4d0;9f85f7da0fc1e5f86eb381d3d9c4b6d2c6dcc03a395e0d81d3f32390b99876bc;a631724101dbbe02ab662258ae31f3bee69c6396144a2a8d28dbc46f77b7893e;74f746b2d2f234459bbff3d3b683b0009b0ee9c840ea60f7e2fc40d13867dee4;57bea95ea78742206b58aacf66e70e9846a3948e74a8f8d229223a1a9f0fc8d0;81dd6633f5a0a0ed815e5340c933153c3189fc021ed6fa09f09c1450d204b79f;052a7f84d066f5902b6d16b8570e7ce07a8057e70fb26a673af3439f1aa1e271;d5fb959e749aa70373c34ed142efeb98443ecd3da5760a646d16ae3fbbb5b0e8;224581f70556c9a9c6e38de7848f5c8b2631c2d1c4888ddd494c041887ceb379,False,contextual_or_orthogonal_only
ID2,GENIE3 specific,6,19,False,True,0,0,0,0,0,0,0,0,3,0,0,2,2,0,,transcriptomics,455f2ab9d99a89901d0eee0e88b09f3247e73e0230c2f2457bd2c6a82873bfa4;812d7ca3fc7156c33fae8a6eb31d056301044e03983f5ea29fb98876a3bfb275;706969e53119f4d1561707eeafba77124f5b33f61ae20a4b53e7bb9623e4fa25;c694478e7c2e961b3422b1037fdbf0cd93d94fe0b882db3042e5eeddd0355e33;98568684330b9a19b07780befe44c0980d02144d34226cd41fd841c2ae0913fa;d5edeec052eaf368a61b87e072c5f9c59745c4b9b3d92e53836ab67f04bb4aea;92aa37d0181665a5f90ac41071506f6fda059a9ecb46929fa1edf67a1dfa2e48;3295e5b0163ba04be22d3e0009492c8e38decdbb3c6fc161f6c4606c823f0c99;defc1dd5e33a3f52e9e3f55f3c7d6711e514d846248bd853b3e4abd4e01e2571;64974205e1d89b13992e9a6da84e485f849dc656d17b54921373db24cc80095f;b3637cd416bbbc53161ef64db785ea9a460f7f698121aa7d29bbd0e831988f73;5299f25a8b737d89017d65e51fe3d4c09572c0313874da54ab1ecc0b19150395;3219f9b89861df5816fde5023defdb82d0aa6d93945daecca2cfddd630fdd348;81a6d8cb44c02602ddcf68968f5392f6a495910eeeaaab4eba66a12ca9875372;b429f1e79821a14198a6a6b9b6de8e4b588cc27fd64e18d881b1db14a8b3dc24,False,contextual_or_orthogonal_only
MAF,GENIE3 specific,7,24,False,True,0,0,0,0,0,0,0,0,0,0,0,0,2,1,,,16eca74d0649a637fbc4a0f477e27c1d09697c47ec97f77b54dbf8638c434137;13cf0d40727652d0c582486fb6fae46a3853f6ae53477bda0aa1c52f9233a72e;9aab4c96a557a6b8afad410aaf58b08cf0f3d5477c9b29310038ef2892b719fa;4740a0c7658ff0f27b02bbba8d09e5a01a14a6a92724dc67d46cd079b99ee565;8a2a060397077f741f8ab4902805f2f005f9fdab560b80138a5e8a6bf073f82b;c764612a7eb2596738e2674f76b5b24e5037b6e4fcce874ed9040d10781da2b2;9cb3a3e9548c836d6fd39e3e9bacf85b09da9dbbd76dde60dac8a05bcac30083;fe8cb113fcec3b867edd92f920eb23c6074e5169fc9a65dbd23c2bf8f6998dd8;c08a362814d9b7f02e66131ec5dd9c8bbfdb29157d54deebfd3e5f00a050b6c6;2a0cf886753caf31da8fe005243da01cfd16ab3a3505c4bb47e61ea9ce180d7e;5731dab5123185c354cecbd3c87bc059ec042969edd5e15c9b91284c3d34840b;8b64ebdc4d95b5d3ef4fff809e7edf33cdf776a1fb3bbb44fc7e5bf216585caf;0033371384316df6537e109ea91716f2a2fde90c883850487adca5ed019f79d7;dc1f9d6c057273570fd192777d901a78c91da7ada2e5afe4d65805c2cb6c514b;f32109453e21cc759d91a04f91125fdf31d89bb9fd5e5aee21ba2237bf7fb912,False,no_qualifying_signal_in_evaluated_layers
