TF,candidate_group,contrast_key,contrast_label,contrast_biological,timepoint,status,direction,qualifying_source,source_prefix,in_assay_universe
BHLHE40,GENIE3_specific,TCR_activation,TCR activation,TCR vs unstimulated control,1h,measured_no_qualifying_signal,,False,TCRvsUC,True
BHLHE40,GENIE3_specific,TCR_activation,TCR activation,TCR vs unstimulated control,4h,measured_no_qualifying_signal,,False,TCRvsUC,True
BHLHE40,GENIE3_specific,TCR_activation,TCR activation,TCR vs unstimulated control,24h,measured_no_qualifying_signal,,False,TCRvsUC,True
BHLHE40,GENIE3_specific,Incremental_BTLA,Incremental BTLA,BTLA+TCR vs TCR,1h,measured_no_qualifying_signal,,False,BTLAvsTCR,True
BHLHE40,GENIE3_specific,Incremental_BTLA,Incremental BTLA,BTLA+TCR vs TCR,4h,measured_no_qualifying_signal,,False,BTLAvsTCR,True
BHLHE40,GENIE3_specific,Incremental_BTLA,Incremental BTLA,BTLA+TCR vs TCR,24h,measured_no_qualifying_signal,,False,BTLAvsTCR,True
BHLHE40,GENIE3_specific,Combined_BTLA_TCR_vs_UC,Combined BTLA+TCR state,BTLA+TCR vs unstimulated control,1h,source_unavailable_pending_model,,False,,True
BHLHE40,GENIE3_specific,Combined_BTLA_TCR_vs_UC,Combined BTLA+TCR state,BTLA+TCR vs unstimulated control,4h,source_unavailable_pending_model,,False,,True
BHLHE40,GENIE3_specific,Combined_BTLA_TCR_vs_UC,Combined BTLA+TCR state,BTLA+TCR vs unstimulated control,24h,source_unavailable_pending_model,,False,,True
CYCS,GENIE3_specific,TCR_activation,TCR activation,TCR vs unstimulated control,1h,measured_no_qualifying_signal,,False,TCRvsUC,True
CYCS,GENIE3_specific,TCR_activation,TCR activation,TCR vs unstimulated control,4h,measured_no_qualifying_signal,,False,TCRvsUC,True
CYCS,GENIE3_specific,TCR_activation,TCR activation,TCR vs unstimulated control,24h,measured_no_qualifying_signal,,False,TCRvsUC,True
CYCS,GENIE3_specific,Incremental_BTLA,Incremental BTLA,BTLA+TCR vs TCR,1h,measured_no_qualifying_signal,,False,BTLAvsTCR,True
CYCS,GENIE3_specific,Incremental_BTLA,Incremental BTLA,BTLA+TCR vs TCR,4h,measured_no_qualifying_signal,,False,BTLAvsTCR,True
CYCS,GENIE3_specific,Incremental_BTLA,Incremental BTLA,BTLA+TCR vs TCR,24h,measured_no_qualifying_signal,,False,BTLAvsTCR,True
CYCS,GENIE3_specific,Combined_BTLA_TCR_vs_UC,Combined BTLA+TCR state,BTLA+TCR vs unstimulated control,1h,source_unavailable_pending_model,,False,,True
CYCS,GENIE3_specific,Combined_BTLA_TCR_vs_UC,Combined BTLA+TCR state,BTLA+TCR vs unstimulated control,4h,source_unavailable_pending_model,,False,,True
CYCS,GENIE3_specific,Combined_BTLA_TCR_vs_UC,Combined BTLA+TCR state,BTLA+TCR vs unstimulated control,24h,source_unavailable_pending_model,,False,,True
EGR2,GENIE3_specific,TCR_activation,TCR activation,TCR vs unstimulated control,1h,measured_qualifying,up,True,TCRvsUC,True
EGR2,GENIE3_specific,TCR_activation,TCR activation,TCR vs unstimulated control,4h,measured_qualifying,up,True,TCRvsUC,True
EGR2,GENIE3_specific,TCR_activation,TCR activation,TCR vs unstimulated control,24h,measured_qualifying,up,True,TCRvsUC,True
EGR2,GENIE3_specific,Incremental_BTLA,Incremental BTLA,BTLA+TCR vs TCR,1h,measured_no_qualifying_signal,,False,BTLAvsTCR,True
EGR2,GENIE3_specific,Incremental_BTLA,Incremental BTLA,BTLA+TCR vs TCR,4h,measured_no_qualifying_signal,,False,BTLAvsTCR,True
EGR2,GENIE3_specific,Incremental_BTLA,Incremental BTLA,BTLA+TCR vs TCR,24h,measured_no_qualifying_signal,,False,BTLAvsTCR,True
EGR2,GENIE3_specific,Combined_BTLA_TCR_vs_UC,Combined BTLA+TCR state,BTLA+TCR vs unstimulated control,1h,source_unavailable_pending_model,,False,,True
EGR2,GENIE3_specific,Combined_BTLA_TCR_vs_UC,Combined BTLA+TCR state,BTLA+TCR vs unstimulated control,4h,source_unavailable_pending_model,,False,,True
EGR2,GENIE3_specific,Combined_BTLA_TCR_vs_UC,Combined BTLA+TCR state,BTLA+TCR vs unstimulated control,24h,source_unavailable_pending_model,,False,,True
FOXM1,GENIE3_specific,TCR_activation,TCR activation,TCR vs unstimulated control,1h,measured_no_qualifying_signal,,False,TCRvsUC,True
FOXM1,GENIE3_specific,TCR_activation,TCR activation,TCR vs unstimulated control,4h,measured_no_qualifying_signal,,False,TCRvsUC,True
FOXM1,GENIE3_specific,TCR_activation,TCR activation,TCR vs unstimulated control,24h,measured_no_qualifying_signal,,False,TCRvsUC,True
FOXM1,GENIE3_specific,Incremental_BTLA,Incremental BTLA,BTLA+TCR vs TCR,1h,measured_no_qualifying_signal,,False,BTLAvsTCR,True
FOXM1,GENIE3_specific,Incremental_BTLA,Incremental BTLA,BTLA+TCR vs TCR,4h,measured_no_qualifying_signal,,False,BTLAvsTCR,True
