TF,candidate_group,gremln_dense_rank,genie3_dense_rank,layer,evidence_role,contrast,timepoint,timepoint_class,is_primary_timepoint,measured_entity,qualifying_source,qualifying_harmonised,status,note,effect_log2fc
BHLHE40,GENIE3_specific,5,7,transcriptomics,contextual,BTLA_TCR_vs_TCR,1h,single,False,BHLHE40,False,False,measured_no_qualifying_signal,mRNA (regulator's own transcript),REDACTED_publication_gate
BHLHE40,GENIE3_specific,5,7,transcriptomics,contextual,BTLA_TCR_vs_TCR,4h,sustained,True,BHLHE40,False,False,measured_no_qualifying_signal,mRNA (regulator's own transcript),REDACTED_publication_gate
BHLHE40,GENIE3_specific,5,7,transcriptomics,contextual,BTLA_TCR_vs_TCR,24h,sustained,False,BHLHE40,False,False,measured_no_qualifying_signal,mRNA (regulator's own transcript),REDACTED_publication_gate
CYCS,GENIE3_specific,5,10,transcriptomics,contextual,BTLA_TCR_vs_TCR,1h,single,False,CYCS,False,False,measured_no_qualifying_signal,mRNA (regulator's own transcript),REDACTED_publication_gate
CYCS,GENIE3_specific,5,10,transcriptomics,contextual,BTLA_TCR_vs_TCR,4h,sustained,True,CYCS,False,False,measured_no_qualifying_signal,mRNA (regulator's own transcript),REDACTED_publication_gate
CYCS,GENIE3_specific,5,10,transcriptomics,contextual,BTLA_TCR_vs_TCR,24h,sustained,False,CYCS,False,False,measured_no_qualifying_signal,mRNA (regulator's own transcript),REDACTED_publication_gate
EGR2,GENIE3_specific,6,1,transcriptomics,contextual,BTLA_TCR_vs_TCR,1h,single,False,EGR2,False,False,measured_no_qualifying_signal,mRNA (regulator's own transcript),REDACTED_publication_gate
EGR2,GENIE3_specific,6,1,transcriptomics,contextual,BTLA_TCR_vs_TCR,4h,sustained,True,EGR2,False,False,measured_no_qualifying_signal,mRNA (regulator's own transcript),REDACTED_publication_gate
EGR2,GENIE3_specific,6,1,transcriptomics,contextual,BTLA_TCR_vs_TCR,24h,sustained,False,EGR2,False,False,measured_no_qualifying_signal,mRNA (regulator's own transcript),REDACTED_publication_gate
FOXM1,GENIE3_specific,4,15,transcriptomics,contextual,BTLA_TCR_vs_TCR,1h,single,False,FOXM1,False,False,measured_no_qualifying_signal,mRNA (regulator's own transcript),REDACTED_publication_gate
FOXM1,GENIE3_specific,4,15,transcriptomics,contextual,BTLA_TCR_vs_TCR,4h,sustained,True,FOXM1,False,False,measured_no_qualifying_signal,mRNA (regulator's own transcript),REDACTED_publication_gate
FOXM1,GENIE3_specific,4,15,transcriptomics,contextual,BTLA_TCR_vs_TCR,24h,sustained,False,FOXM1,False,False,measured_no_qualifying_signal,mRNA (regulator's own transcript),REDACTED_publication_gate
FOXP1,GENIE3_specific,5,3,transcriptomics,contextual,BTLA_TCR_vs_TCR,1h,single,False,FOXP1,False,False,measured_no_qualifying_signal,mRNA (regulator's own transcript),REDACTED_publication_gate
FOXP1,GENIE3_specific,5,3,transcriptomics,contextual,BTLA_TCR_vs_TCR,4h,sustained,True,FOXP1,False,False,measured_no_qualifying_signal,mRNA (regulator's own transcript),REDACTED_publication_gate
FOXP1,GENIE3_specific,5,3,transcriptomics,contextual,BTLA_TCR_vs_TCR,24h,sustained,False,FOXP1,False,False,measured_no_qualifying_signal,mRNA (regulator's own transcript),REDACTED_publication_gate
GAR1,GENIE3_specific,4,12,transcriptomics,contextual,BTLA_TCR_vs_TCR,1h,single,False,GAR1,False,False,measured_no_qualifying_signal,mRNA (regulator's own transcript),REDACTED_publication_gate
GAR1,GENIE3_specific,4,12,transcriptomics,contextual,BTLA_TCR_vs_TCR,4h,sustained,True,GAR1,False,False,measured_no_qualifying_signal,mRNA (regulator's own transcript),REDACTED_publication_gate
GAR1,GENIE3_specific,4,12,transcriptomics,contextual,BTLA_TCR_vs_TCR,24h,sustained,False,GAR1,False,False,measured_no_qualifying_signal,mRNA (regulator's own transcript),REDACTED_publication_gate
GTF2A2,GENIE3_specific,4,22,transcriptomics,contextual,BTLA_TCR_vs_TCR,1h,single,False,GTF2A2,False,False,measured_no_qualifying_signal,mRNA (regulator's own transcript),REDACTED_publication_gate
GTF2A2,GENIE3_specific,4,22,transcriptomics,contextual,BTLA_TCR_vs_TCR,4h,sustained,True,GTF2A2,False,False,measured_no_qualifying_signal,mRNA (regulator's own transcript),REDACTED_publication_gate
GTF2A2,GENIE3_specific,4,22,transcriptomics,contextual,BTLA_TCR_vs_TCR,24h,sustained,False,GTF2A2,False,False,measured_no_qualifying_signal,mRNA (regulator's own transcript),REDACTED_publication_gate
HIVEP3,GENIE3_specific,6,4,transcriptomics,contextual,BTLA_TCR_vs_TCR,1h,single,False,HIVEP3,False,False,measured_no_qualifying_signal,mRNA (regulator's own transcript),REDACTED_publication_gate
HIVEP3,GENIE3_specific,6,4,transcriptomics,contextual,BTLA_TCR_vs_TCR,4h,sustained,True,HIVEP3,False,False,measured_no_qualifying_signal,mRNA (regulator's own transcript),REDACTED_publication_gate
HIVEP3,GENIE3_specific,6,4,transcriptomics,contextual,BTLA_TCR_vs_TCR,24h,sustained,False,HIVEP3,False,False,measured_no_qualifying_signal,mRNA (regulator's own transcript),REDACTED_publication_gate
ID2,GENIE3_specific,6,19,transcriptomics,contextual,BTLA_TCR_vs_TCR,1h,single,False,ID2,False,False,measured_no_qualifying_signal,mRNA (regulator's own transcript),REDACTED_publication_gate
ID2,GENIE3_specific,6,19,transcriptomics,contextual,BTLA_TCR_vs_TCR,4h,sustained,True,ID2,False,False,measured_no_qualifying_signal,mRNA (regulator's own transcript),REDACTED_publication_gate
ID2,GENIE3_specific,6,19,transcriptomics,contextual,BTLA_TCR_vs_TCR,24h,sustained,False,ID2,False,False,measured_no_qualifying_signal,mRNA (regulator's own transcript),REDACTED_publication_gate
MAF,GENIE3_specific,7,24,transcriptomics,contextual,BTLA_TCR_vs_TCR,1h,single,False,MAF,False,False,measured_no_qualifying_signal,mRNA (regulator's own transcript),REDACTED_publication_gate
MAF,GENIE3_specific,7,24,transcriptomics,contextual,BTLA_TCR_vs_TCR,4h,sustained,True,MAF,False,False,failed_qc,mRNA (regulator's own transcript),REDACTED_publication_gate
MAF,GENIE3_specific,7,24,transcriptomics,contextual,BTLA_TCR_vs_TCR,24h,sustained,False,MAF,False,False,failed_qc,mRNA (regulator's own transcript),REDACTED_publication_gate
MDM2,GENIE3_specific,7,11,transcriptomics,contextual,BTLA_TCR_vs_TCR,1h,single,False,MDM2,False,False,measured_no_qualifying_signal,mRNA (regulator's own transcript),REDACTED_publication_gate
MDM2,GENIE3_specific,7,11,transcriptomics,contextual,BTLA_TCR_vs_TCR,4h,sustained,True,MDM2,False,False,measured_no_qualifying_signal,mRNA (regulator's own transcript),REDACTED_publication_gate
MDM2,GENIE3_specific,7,11,transcriptomics,contextual,BTLA_TCR_vs_TCR,24h,sustained,False,MDM2,False,False,measured_no_qualifying_signal,mRNA (regulator's own transcript),REDACTED_publication_gate
MYC,GENIE3_specific,4,13,transcriptomics,contextual,BTLA_TCR_vs_TCR,1h,single,False,MYC,False,False,measured_no_qualifying_signal,mRNA (regulator's own transcript),REDACTED_publication_gate
MYC,GENIE3_specific,4,13,transcriptomics,contextual,BTLA_TCR_vs_TCR,4h,sustained,True,MYC,False,False,measured_no_qualifying_signal,mRNA (regulator's own transcript),REDACTED_publication_gate
MYC,GENIE3_specific,4,13,transcriptomics,contextual,BTLA_TCR_vs_TCR,24h,sustained,False,MYC,False,False,measured_no_qualifying_signal,mRNA (regulator's own transcript),REDACTED_publication_gate
NR4A2,GENIE3_specific,4,17,transcriptomics,contextual,BTLA_TCR_vs_TCR,1h,single,False,NR4A2,False,False,measured_no_qualifying_signal,mRNA (regulator's own transcript),REDACTED_publication_gate
NR4A2,GENIE3_specific,4,17,transcriptomics,contextual,BTLA_TCR_vs_TCR,4h,sustained,True,NR4A2,False,False,failed_qc,mRNA (regulator's own transcript),REDACTED_publication_gate
NR4A2,GENIE3_specific,4,17,transcriptomics,contextual,BTLA_TCR_vs_TCR,24h,sustained,False,NR4A2,False,False,failed_qc,mRNA (regulator's own transcript),REDACTED_publication_gate
SMAP2,GENIE3_specific,4,16,transcriptomics,contextual,BTLA_TCR_vs_TCR,1h,single,False,SMAP2,False,False,measured_no_qualifying_signal,mRNA (regulator's own transcript),REDACTED_publication_gate
SMAP2,GENIE3_specific,4,16,transcriptomics,contextual,BTLA_TCR_vs_TCR,4h,sustained,True,SMAP2,False,False,measured_no_qualifying_signal,mRNA (regulator's own transcript),REDACTED_publication_gate
SMAP2,GENIE3_specific,4,16,transcriptomics,contextual,BTLA_TCR_vs_TCR,24h,sustained,False,SMAP2,False,False,measured_no_qualifying_signal,mRNA (regulator's own transcript),REDACTED_publication_gate
STAT5B,GENIE3_specific,8,20,transcriptomics,contextual,BTLA_TCR_vs_TCR,1h,single,False,STAT5B,False,False,measured_no_qualifying_signal,mRNA (regulator's own transcript),REDACTED_publication_gate
STAT5B,GENIE3_specific,8,20,transcriptomics,contextual,BTLA_TCR_vs_TCR,4h,sustained,True,STAT5B,False,False,measured_no_qualifying_signal,mRNA (regulator's own transcript),REDACTED_publication_gate
STAT5B,GENIE3_specific,8,20,transcriptomics,contextual,BTLA_TCR_vs_TCR,24h,sustained,False,STAT5B,False,False,measured_no_qualifying_signal,mRNA (regulator's own transcript),REDACTED_publication_gate
TGIF1,GENIE3_specific,5,23,transcriptomics,contextual,BTLA_TCR_vs_TCR,1h,single,False,TGIF1,False,False,measured_no_qualifying_signal,mRNA (regulator's own transcript),REDACTED_publication_gate
TGIF1,GENIE3_specific,5,23,transcriptomics,contextual,BTLA_TCR_vs_TCR,4h,sustained,True,TGIF1,False,False,measured_no_qualifying_signal,mRNA (regulator's own transcript),REDACTED_publication_gate
TGIF1,GENIE3_specific,5,23,transcriptomics,contextual,BTLA_TCR_vs_TCR,24h,sustained,False,TGIF1,False,False,measured_no_qualifying_signal,mRNA (regulator's own transcript),REDACTED_publication_gate
TRAF4,GENIE3_specific,6,21,transcriptomics,contextual,BTLA_TCR_vs_TCR,1h,single,False,TRAF4,False,False,measured_no_qualifying_signal,mRNA (regulator's own transcript),REDACTED_publication_gate
TRAF4,GENIE3_specific,6,21,transcriptomics,contextual,BTLA_TCR_vs_TCR,4h,sustained,True,TRAF4,False,False,measured_no_qualifying_signal,mRNA (regulator's own transcript),REDACTED_publication_gate
TRAF4,GENIE3_specific,6,21,transcriptomics,contextual,BTLA_TCR_vs_TCR,24h,sustained,False,TRAF4,False,False,measured_no_qualifying_signal,mRNA (regulator's own transcript),REDACTED_publication_gate
ZEB2,GENIE3_specific,6,14,transcriptomics,contextual,BTLA_TCR_vs_TCR,1h,single,False,ZEB2,False,False,measured_no_qualifying_signal,mRNA (regulator's own transcript),REDACTED_publication_gate
ZEB2,GENIE3_specific,6,14,transcriptomics,contextual,BTLA_TCR_vs_TCR,4h,sustained,True,ZEB2,False,False,failed_qc,mRNA (regulator's own transcript),REDACTED_publication_gate
ZEB2,GENIE3_specific,6,14,transcriptomics,contextual,BTLA_TCR_vs_TCR,24h,sustained,False,ZEB2,False,False,failed_qc,mRNA (regulator's own transcript),REDACTED_publication_gate
AHR,GREmLN_specific,2,43,transcriptomics,contextual,BTLA_TCR_vs_TCR,any,single,False,AHR,False,False,absent_from_assay_universe,absent_from_assay_universe,REDACTED_publication_gate
BCL3,GREmLN_specific,3,30,transcriptomics,contextual,BTLA_TCR_vs_TCR,1h,single,False,BCL3,False,False,measured_no_qualifying_signal,mRNA (regulator's own transcript),REDACTED_publication_gate
BCL3,GREmLN_specific,3,30,transcriptomics,contextual,BTLA_TCR_vs_TCR,4h,sustained,True,BCL3,False,False,measured_no_qualifying_signal,mRNA (regulator's own transcript),REDACTED_publication_gate
BCL3,GREmLN_specific,3,30,transcriptomics,contextual,BTLA_TCR_vs_TCR,24h,sustained,False,BCL3,False,False,failed_qc,mRNA (regulator's own transcript),REDACTED_publication_gate
EZH2,GREmLN_specific,1,31,transcriptomics,contextual,BTLA_TCR_vs_TCR,1h,single,False,EZH2,False,False,measured_no_qualifying_signal,mRNA (regulator's own transcript),REDACTED_publication_gate
EZH2,GREmLN_specific,1,31,transcriptomics,contextual,BTLA_TCR_vs_TCR,4h,sustained,True,EZH2,False,False,measured_no_qualifying_signal,mRNA (regulator's own transcript),REDACTED_publication_gate
EZH2,GREmLN_specific,1,31,transcriptomics,contextual,BTLA_TCR_vs_TCR,24h,sustained,False,EZH2,False,False,measured_no_qualifying_signal,mRNA (regulator's own transcript),REDACTED_publication_gate
GTF3C2,GREmLN_specific,3,175,transcriptomics,contextual,BTLA_TCR_vs_TCR,1h,single,False,GTF3C2,False,False,measured_no_qualifying_signal,mRNA (regulator's own transcript),REDACTED_publication_gate
GTF3C2,GREmLN_specific,3,175,transcriptomics,contextual,BTLA_TCR_vs_TCR,4h,sustained,True,GTF3C2,False,False,measured_no_qualifying_signal,mRNA (regulator's own transcript),REDACTED_publication_gate
GTF3C2,GREmLN_specific,3,175,transcriptomics,contextual,BTLA_TCR_vs_TCR,24h,sustained,False,GTF3C2,False,False,measured_no_qualifying_signal,mRNA (regulator's own transcript),REDACTED_publication_gate
HIRIP3,GREmLN_specific,2,112,transcriptomics,contextual,BTLA_TCR_vs_TCR,1h,single,False,HIRIP3,False,False,measured_no_qualifying_signal,mRNA (regulator's own transcript),REDACTED_publication_gate
HIRIP3,GREmLN_specific,2,112,transcriptomics,contextual,BTLA_TCR_vs_TCR,4h,sustained,True,HIRIP3,False,False,measured_no_qualifying_signal,mRNA (regulator's own transcript),REDACTED_publication_gate
HIRIP3,GREmLN_specific,2,112,transcriptomics,contextual,BTLA_TCR_vs_TCR,24h,sustained,False,HIRIP3,False,False,measured_no_qualifying_signal,mRNA (regulator's own transcript),REDACTED_publication_gate
HMGN3,GREmLN_specific,2,163,transcriptomics,contextual,BTLA_TCR_vs_TCR,1h,single,False,HMGN3,False,False,measured_no_qualifying_signal,mRNA (regulator's own transcript),REDACTED_publication_gate
HMGN3,GREmLN_specific,2,163,transcriptomics,contextual,BTLA_TCR_vs_TCR,4h,sustained,True,HMGN3,False,False,measured_no_qualifying_signal,mRNA (regulator's own transcript),REDACTED_publication_gate
HMGN3,GREmLN_specific,2,163,transcriptomics,contextual,BTLA_TCR_vs_TCR,24h,sustained,False,HMGN3,False,False,measured_no_qualifying_signal,mRNA (regulator's own transcript),REDACTED_publication_gate
KIF22,GREmLN_specific,1,45,transcriptomics,contextual,BTLA_TCR_vs_TCR,1h,single,False,KIF22,False,False,measured_no_qualifying_signal,mRNA (regulator's own transcript),REDACTED_publication_gate
KIF22,GREmLN_specific,1,45,transcriptomics,contextual,BTLA_TCR_vs_TCR,4h,sustained,True,KIF22,False,False,measured_no_qualifying_signal,mRNA (regulator's own transcript),REDACTED_publication_gate
KIF22,GREmLN_specific,1,45,transcriptomics,contextual,BTLA_TCR_vs_TCR,24h,sustained,False,KIF22,False,False,measured_no_qualifying_signal,mRNA (regulator's own transcript),REDACTED_publication_gate
MLX,GREmLN_specific,2,121,transcriptomics,contextual,BTLA_TCR_vs_TCR,1h,single,False,MLX,False,False,measured_no_qualifying_signal,mRNA (regulator's own transcript),REDACTED_publication_gate
MLX,GREmLN_specific,2,121,transcriptomics,contextual,BTLA_TCR_vs_TCR,4h,sustained,True,MLX,False,False,measured_no_qualifying_signal,mRNA (regulator's own transcript),REDACTED_publication_gate
MLX,GREmLN_specific,2,121,transcriptomics,contextual,BTLA_TCR_vs_TCR,24h,sustained,False,MLX,False,False,measured_no_qualifying_signal,mRNA (regulator's own transcript),REDACTED_publication_gate
MSC,GREmLN_specific,3,46,transcriptomics,contextual,BTLA_TCR_vs_TCR,any,single,False,MSC,False,False,absent_from_assay_universe,absent_from_assay_universe,REDACTED_publication_gate
NFIL3,GREmLN_specific,2,60,transcriptomics,contextual,BTLA_TCR_vs_TCR,1h,single,False,NFIL3,False,False,measured_no_qualifying_signal,mRNA (regulator's own transcript),REDACTED_publication_gate
NFIL3,GREmLN_specific,2,60,transcriptomics,contextual,BTLA_TCR_vs_TCR,4h,sustained,True,NFIL3,False,False,measured_no_qualifying_signal,mRNA (regulator's own transcript),REDACTED_publication_gate
NFIL3,GREmLN_specific,2,60,transcriptomics,contextual,BTLA_TCR_vs_TCR,24h,sustained,False,NFIL3,False,False,measured_no_qualifying_signal,mRNA (regulator's own transcript),REDACTED_publication_gate
RBPJ,GREmLN_specific,2,37,transcriptomics,contextual,BTLA_TCR_vs_TCR,1h,single,False,RBPJ,False,False,measured_no_qualifying_signal,mRNA (regulator's own transcript),REDACTED_publication_gate
RBPJ,GREmLN_specific,2,37,transcriptomics,contextual,BTLA_TCR_vs_TCR,4h,sustained,True,RBPJ,False,False,measured_no_qualifying_signal,mRNA (regulator's own transcript),REDACTED_publication_gate
RBPJ,GREmLN_specific,2,37,transcriptomics,contextual,BTLA_TCR_vs_TCR,24h,sustained,False,RBPJ,False,False,measured_no_qualifying_signal,mRNA (regulator's own transcript),REDACTED_publication_gate
SNAPC4,GREmLN_specific,2,154,transcriptomics,contextual,BTLA_TCR_vs_TCR,1h,single,False,SNAPC4,False,False,measured_no_qualifying_signal,mRNA (regulator's own transcript),REDACTED_publication_gate
SNAPC4,GREmLN_specific,2,154,transcriptomics,contextual,BTLA_TCR_vs_TCR,4h,sustained,True,SNAPC4,False,False,measured_no_qualifying_signal,mRNA (regulator's own transcript),REDACTED_publication_gate
SNAPC4,GREmLN_specific,2,154,transcriptomics,contextual,BTLA_TCR_vs_TCR,24h,sustained,False,SNAPC4,False,False,measured_no_qualifying_signal,mRNA (regulator's own transcript),REDACTED_publication_gate
SRP9,GREmLN_specific,3,175,transcriptomics,contextual,BTLA_TCR_vs_TCR,1h,single,False,SRP9,False,False,measured_no_qualifying_signal,mRNA (regulator's own transcript),REDACTED_publication_gate
SRP9,GREmLN_specific,3,175,transcriptomics,contextual,BTLA_TCR_vs_TCR,4h,sustained,True,SRP9,False,False,measured_no_qualifying_signal,mRNA (regulator's own transcript),REDACTED_publication_gate
