Position,Candidate regulator,CRISPRi evidence,Literature evidence,BTLA experimental evidence
1,KIF22,No detected response (0/10),None,None
2,EZH2,No detected response (0/10),Strong,None
3,HMGN3,No detected response (0/9),None,None
4,HIRIP3,No detected response (0/9),None,None
5,STAT4,No detected response (0/9),Strong,None
6,SNAPC4,Not in screen,None,None
7,RBPJ,No detected response (0/9),Moderate,Inferred regulon activity ↑
8,CREMˢ,No detected response (0/9),Moderate,Inferred regulon activity ↑; BIONIC
9,STAU2,No detected response (0/9),None,None
10,MLX,No detected response (0/9),None,None
11,STAT1ˢ,No detected response (0/9),Strong,Inferred regulon activity ↓; BIONIC
12,AHR,Detected — BTLA-anti-concordant (7/9),Moderate,Inferred regulon activity ↑
13,NFIL3,Not in screen,Strong,Inferred regulon activity ↑
14,SRP9,Detected — BTLA-concordant (1/8),None,None
15,MSC,No detected response (0/8),None,None
16,GTF3C2,Not in screen,None,None
17,ZBTB32ˢ,No detected response (0/8),Weak,Inferred regulon activity ↑
18,TFDP1,No detected response (0/8),None,None
19,BCL3,No detected response (0/8),Moderate,Inferred regulon activity ↑
20,ZNF706,No detected response (0/8),None,None
21,ZNF121,No detected response (0/8),None,None
22,JUNBˢ,No detected response (0/8),Strong,Inferred regulon activity ↓
23,PRDM1ˢ,Not in screen,Strong,Inferred regulon activity ↓
24,IRF8ˢ,Detected — BTLA-concordant (1/8),Moderate,Inferred regulon activity ↑
25,PLAGL2ˢ,Not in screen,None,None
