Candidate regulator,Candidate group,GREmLN rank,GENIE3 rank,TCR activation mRNA,Incremental BTLA mRNA,Protein abundance,Phosphosite abundance,Independent molecular association,Interpretation note
EZH2,GREmLN specific,1,—,"Measured, no qualifying change","Measured, no qualifying change","Measured, no qualifying change",Absent from assay universe,No qualifying association,No qualifying signal in measured layers
KIF22,GREmLN specific,1,—,"Measured, no qualifying change","Measured, no qualifying change","Measured, no qualifying change",Absent from assay universe,No qualifying association,No qualifying signal in measured layers
AHR,GREmLN specific,2,—,Absent from assay universe,Absent from assay universe,Absent from assay universe,Absent from assay universe,Not assessable because not measured,Sparse assay coverage
HIRIP3,GREmLN specific,2,—,"Measured, no qualifying change","Measured, no qualifying change","Measured, no qualifying change","Qualifying association: 2 min, 24 h (1 qualifying site)",Yes — phosphosite,Independent phosphosite association
HMGN3,GREmLN specific,2,—,"Measured, no qualifying change","Measured, no qualifying change",Absent from assay universe,Absent from assay universe,Not assessable because not measured,No qualifying signal in measured layers
MLX,GREmLN specific,2,—,"Measured, no qualifying change","Measured, no qualifying change",Absent from assay universe,Absent from assay universe,Not assessable because not measured,No qualifying signal in measured layers
NFIL3,GREmLN specific,2,—,"Measured, no qualifying change","Measured, no qualifying change",Absent from assay universe,Absent from assay universe,Not assessable because not measured,No qualifying signal in measured layers
RBPJ,GREmLN specific,2,—,"Measured, no qualifying change","Measured, no qualifying change","Measured, no qualifying change",Absent from assay universe,No qualifying association,No qualifying signal in measured layers
SNAPC4,GREmLN specific,2,—,"Measured, no qualifying change","Measured, no qualifying change",Absent from assay universe,Absent from assay universe,Not assessable because not measured,No qualifying signal in measured layers
STAT4,GREmLN specific,2,—,"Measured, no qualifying change","Measured, no qualifying change",Absent from assay universe,Absent from assay universe,Not assessable because not measured,No qualifying signal in measured layers
STAU2,GREmLN specific,2,—,"Measured, no qualifying change","Measured, no qualifying change","Measured, no qualifying change","Qualifying association: 20 min, 4 h, 24 h (2 qualifying sites)",Yes — phosphosite,Independent phosphosite association
BCL3,GREmLN specific,3,—,"Measured, no qualifying change","Measured, no qualifying change",Absent from assay universe,Absent from assay universe,Not assessable because not measured,No qualifying signal in measured layers
GTF3C2,GREmLN specific,3,—,"Measured, no qualifying change","Measured, no qualifying change","Measured, no qualifying change",Qualifying association: 4 h (1 qualifying site),Yes — phosphosite,Independent phosphosite association
MSC,GREmLN specific,3,—,Absent from assay universe,Absent from assay universe,Absent from assay universe,Absent from assay universe,Not assessable because not measured,Sparse assay coverage
SRP9,GREmLN specific,3,—,"Measured, no qualifying change","Measured, no qualifying change","Measured, no qualifying change",Absent from assay universe,No qualifying association,No qualifying signal in measured layers
TFDP1,GREmLN specific,3,—,"Measured, no qualifying change","Measured, no qualifying change","Measured, no qualifying change",Qualifying association: 4 h (1 qualifying site),Yes — phosphosite,Independent phosphosite association
ZNF121,GREmLN specific,3,—,"Measured, no qualifying change","Measured, no qualifying change",Absent from assay universe,Absent from assay universe,Not assessable because not measured,No qualifying signal in measured layers
ZNF706,GREmLN specific,3,—,"Measured, no qualifying change","Measured, no qualifying change",Absent from assay universe,Absent from assay universe,Not assessable because not measured,No qualifying signal in measured layers
CREM,Shared,2,18,"Measured, no qualifying change","Measured, no qualifying change",Absent from assay universe,Absent from assay universe,Not assessable because not measured,No qualifying signal in measured layers
JUNB,Shared,3,2,"Increased: 1 h, 24 h","Measured, no qualifying change",Absent from assay universe,Absent from assay universe,Not assessable because not measured,Activation-associated mRNA only
STAT1,Shared,2,6,"Measured, no qualifying change","Measured, no qualifying change","Measured, no qualifying change",Absent from assay universe,No qualifying association,No qualifying signal in measured layers
IRF8,Shared,3,5,"Measured, no qualifying change","Measured, no qualifying change",Absent from assay universe,Absent from assay universe,Not assessable because not measured,No qualifying signal in measured layers
PLAGL2,Shared,3,8,"Measured, no qualifying change","Measured, no qualifying change","Measured, no qualifying change",Absent from assay universe,No qualifying association,No qualifying signal in measured layers
PRDM1,Shared,3,25,Increased: 4 h,"Measured, no qualifying change",Absent from assay universe,Absent from assay universe,Not assessable because not measured,Activation-associated mRNA only
ZBTB32,Shared,3,9,"Measured, no qualifying change","Measured, no qualifying change",Absent from assay universe,Absent from assay universe,Not assessable because not measured,No qualifying signal in measured layers
EGR2,GENIE3 specific,—,1,"Increased: 1 h, 4 h, 24 h","Measured, no qualifying change",Absent from assay universe,Absent from assay universe,Not assessable because not measured,Activation-associated mRNA only
FOXP1,GENIE3 specific,—,3,"Measured, no qualifying change","Measured, no qualifying change","Measured, no qualifying change",Absent from assay universe,No qualifying association,No qualifying signal in measured layers
HIVEP3,GENIE3 specific,—,4,"Increased: 4 h, 24 h","Measured, no qualifying change",Absent from assay universe,Absent from assay universe,Not assessable because not measured,Activation-associated mRNA only
BHLHE40,GENIE3 specific,—,7,"Measured, no qualifying change","Measured, no qualifying change",Absent from assay universe,Absent from assay universe,Not assessable because not measured,No qualifying signal in measured layers
CYCS,GENIE3 specific,—,10,"Measured, no qualifying change","Measured, no qualifying change","Measured, no qualifying change",Absent from assay universe,No qualifying association,No qualifying signal in measured layers
MDM2,GENIE3 specific,—,11,"Measured, no qualifying change","Measured, no qualifying change",Absent from assay universe,Absent from assay universe,Not assessable because not measured,No qualifying signal in measured layers
GAR1,GENIE3 specific,—,12,"Measured, no qualifying change","Measured, no qualifying change","Measured, no qualifying change",Absent from assay universe,No qualifying association,No qualifying signal in measured layers
MYC,GENIE3 specific,—,13,"Measured, no qualifying change","Measured, no qualifying change","Measured, no qualifying change","Qualifying association: 4 h, 24 h (3 qualifying sites)",Yes — phosphosite,Independent phosphosite association
ZEB2,GENIE3 specific,—,14,"Measured, no qualifying change","Measured, no qualifying change",Absent from assay universe,Absent from assay universe,Not assessable because not measured,No qualifying signal in measured layers
FOXM1,GENIE3 specific,—,15,"Measured, no qualifying change","Measured, no qualifying change",Absent from assay universe,Absent from assay universe,Not assessable because not measured,No qualifying signal in measured layers
SMAP2,GENIE3 specific,—,16,"Measured, no qualifying change","Measured, no qualifying change",Qualifying association: 4 h,Absent from assay universe,Yes — protein,Independent protein association
NR4A2,GENIE3 specific,—,17,"Measured, no qualifying change","Measured, no qualifying change",Absent from assay universe,Absent from assay universe,Not assessable because not measured,No qualifying signal in measured layers
ID2,GENIE3 specific,—,19,Increased: 4 h,"Measured, no qualifying change",Absent from assay universe,Absent from assay universe,Not assessable because not measured,Activation-associated mRNA only
STAT5B,GENIE3 specific,—,20,"Measured, no qualifying change","Measured, no qualifying change",Qualifying association: 20 min,Absent from assay universe,Yes — protein,Independent protein association
TRAF4,GENIE3 specific,—,21,"Measured, no qualifying change","Measured, no qualifying change",Absent from assay universe,Absent from assay universe,Not assessable because not measured,No qualifying signal in measured layers
GTF2A2,GENIE3 specific,—,22,"Measured, no qualifying change","Measured, no qualifying change",Absent from assay universe,Absent from assay universe,Not assessable because not measured,No qualifying signal in measured layers
TGIF1,GENIE3 specific,—,23,"Measured, no qualifying change","Measured, no qualifying change",Absent from assay universe,Absent from assay universe,Not assessable because not measured,No qualifying signal in measured layers
