TF,gremln_rank,genie3_rank,in_gremln_top25,in_genie3_top25,candidate_group,ranking_source_commit,ranking_file_sha256,gremln_ranking_sha256,genie3_ranking_sha256
AHR,2,43,True,False,gremln_only,7b0ad984fff8892ed0368d94fc79666ec755397a,4352c9169b17dfd85c603bd1c965a9466037951e8b8041790d0ee8fbad34bd04,03776759099031ad84c7967bdce6bea584789e9ae72f02b1d8c5380aafc7f8f7,a5ca8c3a239c1b4b7fc60178c6216772a28a05fe412fbd258e46b4148ca4cfe6
BCL3,3,30,True,False,gremln_only,7b0ad984fff8892ed0368d94fc79666ec755397a,4352c9169b17dfd85c603bd1c965a9466037951e8b8041790d0ee8fbad34bd04,03776759099031ad84c7967bdce6bea584789e9ae72f02b1d8c5380aafc7f8f7,a5ca8c3a239c1b4b7fc60178c6216772a28a05fe412fbd258e46b4148ca4cfe6
BHLHE40,5,7,False,True,genie3_only,7b0ad984fff8892ed0368d94fc79666ec755397a,4352c9169b17dfd85c603bd1c965a9466037951e8b8041790d0ee8fbad34bd04,03776759099031ad84c7967bdce6bea584789e9ae72f02b1d8c5380aafc7f8f7,a5ca8c3a239c1b4b7fc60178c6216772a28a05fe412fbd258e46b4148ca4cfe6
CREM,2,18,True,True,shared,7b0ad984fff8892ed0368d94fc79666ec755397a,4352c9169b17dfd85c603bd1c965a9466037951e8b8041790d0ee8fbad34bd04,03776759099031ad84c7967bdce6bea584789e9ae72f02b1d8c5380aafc7f8f7,a5ca8c3a239c1b4b7fc60178c6216772a28a05fe412fbd258e46b4148ca4cfe6
CYCS,5,10,False,True,genie3_only,7b0ad984fff8892ed0368d94fc79666ec755397a,4352c9169b17dfd85c603bd1c965a9466037951e8b8041790d0ee8fbad34bd04,03776759099031ad84c7967bdce6bea584789e9ae72f02b1d8c5380aafc7f8f7,a5ca8c3a239c1b4b7fc60178c6216772a28a05fe412fbd258e46b4148ca4cfe6
EGR2,6,1,False,True,genie3_only,7b0ad984fff8892ed0368d94fc79666ec755397a,4352c9169b17dfd85c603bd1c965a9466037951e8b8041790d0ee8fbad34bd04,03776759099031ad84c7967bdce6bea584789e9ae72f02b1d8c5380aafc7f8f7,a5ca8c3a239c1b4b7fc60178c6216772a28a05fe412fbd258e46b4148ca4cfe6
EZH2,1,31,True,False,gremln_only,7b0ad984fff8892ed0368d94fc79666ec755397a,4352c9169b17dfd85c603bd1c965a9466037951e8b8041790d0ee8fbad34bd04,03776759099031ad84c7967bdce6bea584789e9ae72f02b1d8c5380aafc7f8f7,a5ca8c3a239c1b4b7fc60178c6216772a28a05fe412fbd258e46b4148ca4cfe6
FOXM1,4,15,False,True,genie3_only,7b0ad984fff8892ed0368d94fc79666ec755397a,4352c9169b17dfd85c603bd1c965a9466037951e8b8041790d0ee8fbad34bd04,03776759099031ad84c7967bdce6bea584789e9ae72f02b1d8c5380aafc7f8f7,a5ca8c3a239c1b4b7fc60178c6216772a28a05fe412fbd258e46b4148ca4cfe6
FOXP1,5,3,False,True,genie3_only,7b0ad984fff8892ed0368d94fc79666ec755397a,4352c9169b17dfd85c603bd1c965a9466037951e8b8041790d0ee8fbad34bd04,03776759099031ad84c7967bdce6bea584789e9ae72f02b1d8c5380aafc7f8f7,a5ca8c3a239c1b4b7fc60178c6216772a28a05fe412fbd258e46b4148ca4cfe6
GAR1,4,12,False,True,genie3_only,7b0ad984fff8892ed0368d94fc79666ec755397a,4352c9169b17dfd85c603bd1c965a9466037951e8b8041790d0ee8fbad34bd04,03776759099031ad84c7967bdce6bea584789e9ae72f02b1d8c5380aafc7f8f7,a5ca8c3a239c1b4b7fc60178c6216772a28a05fe412fbd258e46b4148ca4cfe6
