reviewer,date,TF,paper_id,entity_confirmed,relevance_confirmed,evidence_directness_confirmed,tier_accepted_or_changed,notes
,,AHR,PMC7419300,,,,,
,,AHR,PMC3412388,,,,,
,,BCL3,PMC5414353,,,,,
,,BCL3,PMC12646068,,,,,
,,BCL3,PMC2660861,,,,,
,,CREM,PMC5165720,,,,,
,,CREM,PMC12286855,,,,,
,,EGR2,PMC3501351,,,,,
,,EGR2,PMC5439026,,,,,
,,EGR2,PMC5946152,,,,,
,,EGR2,PMC2944839,,,,,
,,EZH2,PMC6094952,,,,,
,,FOXM1,PMC12515241,,,,,
,,FOXM1,PMC9561767,,,,,
,,FOXP1,PMC6534289,,,,,
,,FOXP1,PMC12487849,,,,,
,,FOXP1,PMC13105002,,,,,
,,JUNB,PMC11884676,,,,,
,,JUNB,PMC11496645,,,,,
,,MYC,PMC9360539,,,,,
,,NFIL3,PMC11563780,,,,,
,,NFIL3,PMC6802641,,,,,
,,PRDM1,PMC9097451,,,,,
,,ZEB2,PMC12456470,,,,,
