tf,query,artifact,result_id,bytes,sha256
AHR,AHR TCR inhibition,search_stdout,s_129cfbe6,5273,0ebcdc81e816d207ccfdfb25d31439f6af2e85b5ccb6a5bd6a5084ecfaf4f3d0
AHR,AHR TCR inhibition,meta:PMC12785682,PMC12785682,2425,2d1b6d06c6b36d2c93c18fb5a5912d05c25f1eb26844d9ee87756075be5a8a70
AHR,AHR TCR inhibition,meta:PMC7419300,PMC7419300,1989,ca82b4589209389768bebf2a7ad97277aeda77a596e63cff57cd64f27ad4f53c
AHR,AHR TCR inhibition,meta:PMC12801039,PMC12801039,2594,d42217d86987738ad48eb67b02f32c3e3513a36aafd4aad4fb36f93f411825b4
AHR,AHR TCR inhibition,meta:PMC12504769,PMC12504769,870,b65c0334c844a36d260631c115d4b545780060fc6b9d37be7fd6171476eacc14
AHR,AHR TCR inhibition,meta:PMC11354967,PMC11354967,2139,cb920c00b83aa55c290f1945a29f14ded51377b1ac2165d838a0c9fa22639863
AHR,AHR TCR inhibition,meta:PMC10570930,PMC10570930,1069,0ead10103389c05d8e5f4c9e7f8b4a7ce918ef041a4682a13efb2fcafa009e99
AHR,AHR TCR inhibition,meta:PMC11237943,PMC11237943,2657,68b5e6bc463149a91c18620aebede510e00af067ce9536683576ece45ab240b7
AHR,AHR TCR inhibition,meta:PMC4067745,PMC4067745,1748,6dbb2a3868621eee6bb90a21a7e0e65e72e63c1eee04768e96c8a8a1244da7d5
AHR,AHR TCR inhibition,meta:PMC12346228,PMC12346228,2248,d8bac7f40a18f8645487a5291f0b05072df5a888c1c48915926b2af230f9baa0
AHR,AHR TCR inhibition,meta:PMC3412388,PMC3412388,2702,933d59000cfcac58d75fe5c9ae7f9ed3104ea6ec765b38e362046f61bfe23661
BCL3,BCL3 TCR inhibition,search_stdout,s_1cbba8c8,4851,6abf26a0520abbf7b7a4b184ddf6a6d47f26159dbaecd205a08cdff05b0572ed
BCL3,BCL3 TCR inhibition,meta:PMC10775530,PMC10775530,2123,b072279297a9bb8e8a4d44c9b130efe79ccf01075c704af579a71a2692bd69c5
BCL3,BCL3 TCR inhibition,meta:PMC10813424,PMC10813424,2124,6ecf8ed595ddcb961b38ca188b0b552b758de406c78ca3b71a270bd2ee16ef28
